ping_number,pwr_up_msec,time_boot_ms_x,sonar_x,sonar_y,time_boot_ms_y,yaw_rad,pitch_rad,sonar_z
40509,5581139,5581127,81.41661834716797,25.869844436645508,5581127,-0.4959135353565216,-0.0263511668890714,0.0
40510,5581189,5581207,81.45008087158203,25.86206817626953,5581207,-0.5257402658462524,-0.0383623652160167,0.0
40511,5581239,5581227,81.45770263671875,25.860475540161133,5581227,-0.5331348180770874,-0.0401601232588291,0.0
40512,5581289,5581287,81.47925567626953,25.85670661926269,5581287,-0.5552737712860107,-0.0422731563448905,0.0
40513,5581339,5581327,81.49366760253906,25.85353660583496,5581327,-0.5700051188468933,-0.0412711389362812,0.0
40514,5581389,5581387,81.51515197753906,25.84809112548828,5581387,-0.5921050906181335,-0.0362276062369346,0.0
40515,5581439,5581427,81.52835845947266,25.845691680908203,5581427,-0.6069996953010559,-0.0308879092335701,0.0
40516,5581489,5581487,81.54698181152344,25.843738555908203,5581487,-0.6284936666488647,-0.0207204353064298,0.0
40517,5581540,5581527,81.55891418457031,25.84164810180664,5581527,-0.6426534652709961,-0.0130088962614536,0.0
40518,5581589,5581587,81.5764389038086,25.83763694763184,5581587,-0.6636974215507507,-0.0010937679326161,0.0
